fold,test_start,test_end,checkpoint,selected_scale,trade_count,active_blocks,alpha_excess_pt,final_excess_pt,sharpe_delta,maxdd_delta_pt,total_return_pt,benchmark_total_return_pt,max_drawdown_pt,benchmark_max_drawdown_pt,turnover,active_rate,mean_overlay,avg_hold_bars
0,2020-04-16 13:45:00,2020-07-16 13:45:00,checkpoints/plan011_overlay_actor_v31_relative_constraint_ac_s007/fold_0/ac.pt,0.7,176,68,2.444048660222675,0.2788214656902932,0.008584896061076819,0.01893764371505846,29.55604873169264,29.27722726600235,17.482524691492067,17.463587047777008,1.0610689520835876,0.0,0.0021880246886125626,414.9047619047619
1,2020-07-16 13:45:00,2020-10-16 13:45:00,checkpoints/plan011_overlay_actor_v31_relative_constraint_ac_s007/fold_1/ac.pt,0.7,7,6,1.6415187849045942,0.21298530534672455,0.008924458286650117,0.06458883702405438,25.19515638938705,24.982171084040328,20.37388986271598,20.309301025691926,0.19120585918426514,0.0,0.006000616610367355,2208.25
2,2020-10-16 13:45:00,2021-01-16 13:45:00,checkpoints/plan011_overlay_actor_v31_relative_constraint_ac_s007/fold_2/ac.pt,0.7,33,25,477.79386135022577,3.4620523640104484,0.019610229664176693,0.0512705919821721,230.77619832257415,227.3141459585637,26.64288846678795,26.591617874805777,0.7670720815658569,0.0,0.007274847584667156,587.2666666666667
3,2021-01-16 13:45:00,2021-04-16 13:45:00,checkpoints/plan011_overlay_actor_v31_relative_constraint_ac_s007/fold_3/ac.pt,0.7,15,8,18.86006240721665,1.0474305654676108,0.009146700346499781,0.22399781943743813,63.14552010787358,62.098089542405965,26.214514886495316,25.990517067057876,0.5644577145576477,0.0,0.010847346172679916,784.1818181818181
4,2021-04-16 13:45:00,2021-07-16 13:45:00,checkpoints/plan011_overlay_actor_v31_relative_constraint_ac_s007/fold_4/ac.pt,0.7,4,9,-0.19665310933492108,-0.3535982230824519,-0.010180080317827134,0.3155404008352347,-48.20719956240903,-47.85360133932658,53.51555908933964,53.2000186885044,0.5312403440475464,0.0,0.009742605760103253,791.7272727272727
5,2021-07-16 13:45:00,2021-10-16 13:45:00,checkpoints/plan011_overlay_actor_v31_relative_constraint_ac_s007/fold_5/ac.pt,0.7,1,4,39.17341666992886,1.4004562818080935,-0.004617796868407353,0.24893179894587836,93.16445676077248,91.76400047896438,23.841915726939128,23.59298392799325,0.4752596616744995,0.0,0.013126260443525335,880.7
6,2021-10-16 13:45:00,2022-01-16 13:45:00,checkpoints/plan011_overlay_actor_v31_relative_constraint_ac_s007/fold_6/ac.pt,0.7,28,14,-0.3241197961153852,-0.23092193090991087,-0.00022966266507662425,0.27553214964104455,-29.659355948049814,-29.428434017139903,42.20849345101235,41.93296130137131,0.5166518688201904,0.0,0.010055766496493136,883.3
7,2022-01-16 13:45:00,2022-04-16 13:45:00,checkpoints/plan011_overlay_actor_v31_relative_constraint_ac_s007/fold_7/ac.pt,0.7,18,13,-1.280227955908031,-0.3833701917182797,-0.021233024850707716,0.24096903520739732,-6.349986286526288,-5.966616094808009,24.8636010572276,24.622632022020206,0.5459410548210144,0.0,0.012278149344829785,785.5454545454545
8,2022-04-16 13:45:00,2022-07-16 13:45:00,checkpoints/plan011_overlay_actor_v31_relative_constraint_ac_s007/fold_8/ac.pt,0.7,0,1,-0.21743981896247266,-0.4033940671991143,-0.005570472247546476,0.3937302402380216,-48.85846388448779,-48.455069817288674,59.012356174072046,58.618625933834025,0.08614575862884521,0.0,0.011147966002304603,4368.5
9,2022-07-16 13:45:00,2022-10-16 13:45:00,checkpoints/plan011_overlay_actor_v31_relative_constraint_ac_s007/fold_9/ac.pt,0.7,0,1,-0.5262409765793619,-0.1709937117492455,-0.006410174549440817,0.26348717762667007,-8.28607362591275,-8.115079914163504,27.45454770463268,27.191060527006012,0.07477676868438721,0.0,0.011173017592091638,8833.0
10,2022-10-16 13:45:00,2023-01-16 13:45:00,checkpoints/plan011_overlay_actor_v31_relative_constraint_ac_s007/fold_10/ac.pt,0.7,0,11,0.809574981749428,0.15857975873572183,0.006944748646311116,0.1533729490979574,8.953402398018607,8.794822639282884,27.232938563702792,27.079565614604835,0.3507333993911743,0.0,0.008495316828793906,1261.857142857143
11,2023-01-16 13:45:00,2023-04-16 13:45:00,checkpoints/plan011_overlay_actor_v31_relative_constraint_ac_s007/fold_11/ac.pt,0.7,0,1,5.609831410186139,0.44311033921362597,-0.0035954262945967486,0.17114979388557217,45.25525730987232,44.812146970658695,22.17687188809931,22.005722094213738,0.07619547843933105,0.0,0.009504254171978666,4316.0
12,2023-04-16 13:45:00,2023-07-16 13:45:00,checkpoints/plan011_overlay_actor_v31_relative_constraint_ac_s007/fold_12/ac.pt,0.7,8,5,-0.45374621723230923,-0.11275214161696745,-0.011173841653869736,0.22472330523172213,0.05736860958900358,0.17012075120597103,18.647272014646507,18.422548709414784,0.4920823574066162,0.0,0.010835964824073549,873.7
